problem_id,year_seed,base_year,seed,majority_voted_answer,answer_frequencies,ground_truth_answer,tie_in_majority_vote,self_consistent
27,2025_s0,2025,s0,208,"{'724': 1, '208': 3, '62208': 1}",248,False,0
28,2025_s0,2025,s0,104,"{'104': 3, '100': 1, '101': 1}",104,False,1
29,2025_s0,2025,s0,328,"{'328': 1, '188': 1, '246': 1, '244': 1, '324': 1}",240,True,0
2024-II-4,2024_s1,2024,s1,33,{'33': 5},33,False,1
2024-II-12,2024_s1,2024,s1,23,{'23': 5},23,False,1
2024-I-4,2024_s1,2024,s1,116,{'116': 5},116,False,1
2024-I-3,2024_s1,2024,s1,809,{'809': 5},809,False,1
2024-I-8,2024_s1,2024,s1,273,"{'273': 1, '197': 1, '274': 1, '2929': 1, '35': 1}",197,True,0
2024-I-12,2024_s1,2024,s1,12,"{'12': 3, '24': 1, '16': 1}",385,False,0
2024-I-11,2024_s1,2024,s1,139,"{'139': 1, '265': 1, '141': 1, '43': 1, '9': 1}",371,True,0
2024-II-11,2024_s1,2024,s1,601,"{'401': 1, '601': 4}",601,False,1
2024-I-2,2024_s1,2024,s1,25,{'25': 5},25,False,1
2024-II-6,2024_s1,2024,s1,55,{'55': 5},55,False,1
2024-I-7,2024_s1,2024,s1,540,{'540': 5},540,False,1
2024-II-3,2024_s1,2024,s1,45,{'45': 5},45,False,1
2024-I-1,2024_s1,2024,s1,204,{'204': 5},204,False,1
2024-II-7,2024_s1,2024,s1,699,{'699': 5},699,False,1
2024-I-6,2024_s1,2024,s1,294,"{'294': 4, '364': 1}",294,False,1
2024-I-13,2024_s1,2024,s1,110,{'110': 5},110,False,1
2024-I-15,2024_s1,2024,s1,721,"{'5287': 1, '721': 4}",721,False,1
2024-II-15,2024_s1,2024,s1,30,"{'999': 1, '144': 1, '30': 2, '1260': 1}",315,False,0
2024-II-10,2024_s1,2024,s1,468,{'468': 5},468,False,1
2024-II-9,2024_s1,2024,s1,256,"{'256': 1, '312': 1, '961': 1, '900': 1, '1024': 1}",902,True,0
2024-II-14,2024_s1,2024,s1,211,"{'211': 2, '2': 1, '25': 1, '3601': 1}",211,False,1
2024-II-5,2024_s1,2024,s1,80,{'80': 5},80,False,1
2024-I-9,2024_s1,2024,s1,480,"{'480': 4, '80': 1}",480,False,1
2024-II-2,2024_s1,2024,s1,236,{'236': 5},236,False,1
2024-II-1,2024_s1,2024,s1,73,{'73': 5},73,False,1
2024-I-10,2024_s1,2024,s1,113,{'113': 5},113,False,1
2024-II-8,2024_s1,2024,s1,181,"{'181': 1, '86': 1, '127': 1, '7': 1, '009': 1}",127,True,0
2024-I-14,2024_s1,2024,s1,104,"{'104': 3, '299': 1, '166': 1}",104,False,1
2024-I-5,2024_s1,2024,s1,104,"{'104': 4, '92': 1}",104,False,1
2024-II-13,2024_s1,2024,s1,321,{'321': 5},321,False,1
0,2025_s1,2025,s1,468,{'468': 5},468,False,1
1,2025_s1,2025,s1,49,{'49': 5},49,False,1
2,2025_s1,2025,s1,6,"{'6': 2, '84': 1, '82': 2}",82,True,0
3,2025_s1,2025,s1,106,{'106': 5},106,False,1
4,2025_s1,2025,s1,342,"{'340': 1, '342': 2, '336': 2}",336,True,0
5,2025_s1,2025,s1,293,"{'293': 4, '67': 1}",293,False,1
6,2025_s1,2025,s1,237,"{'237': 4, '60671': 1}",237,False,1
7,2025_s1,2025,s1,610,"{'610': 2, '600': 1, '800': 1, '990': 1}",610,False,1
8,2025_s1,2025,s1,149,"{'149': 4, '150': 1}",149,False,1
9,2025_s1,2025,s1,907,"{'907': 4, '381': 1}",907,False,1
10,2025_s1,2025,s1,666,"{'666': 1, '394': 1, '1': 1, '2048': 1, '1430': 1}",113,True,0
11,2025_s1,2025,s1,19,{'19': 5},19,False,1
12,2025_s1,2025,s1,36,"{'36': 1, '500': 1, '208': 1, '489': 1, '931': 1}",248,True,0
13,2025_s1,2025,s1,104,"{'104': 4, '168': 1}",104,False,1
14,2025_s1,2025,s1,188,"{'98': 1, '188': 3, '244': 1}",240,False,0
15,2025_s1,2025,s1,468,{'468': 5},468,False,1
16,2025_s1,2025,s1,49,{'49': 5},49,False,1
17,2025_s1,2025,s1,60,"{'6': 1, '35': 1, '78': 1, '60': 2}",82,False,0
18,2025_s1,2025,s1,106,{'106': 5},106,False,1
19,2025_s1,2025,s1,336,"{'180': 1, '336': 3, '432': 1}",336,False,1
20,2025_s1,2025,s1,73,"{'73': 2, '389': 1, '293': 2}",293,True,0
21,2025_s1,2025,s1,237,"{'237': 2, '60671': 2, '5': 1}",237,True,1
22,2025_s1,2025,s1,610,{'610': 5},610,False,1
23,2025_s1,2025,s1,149,"{'150': 1, '149': 4}",149,False,1
24,2025_s1,2025,s1,907,"{'907': 3, '180': 1, '834': 1}",907,False,1
25,2025_s1,2025,s1,6,"{'6': 1, '27': 1, '1746147': 1, '21': 1, '11': 1}",113,True,0
26,2025_s1,2025,s1,19,"{'19': 4, '440': 1}",19,False,1
27,2025_s1,2025,s1,208,"{'208': 2, '1': 1, '821749775': 1, '6': 1}",248,False,0
28,2025_s1,2025,s1,104,"{'57': 1, '104': 3, '143': 1}",104,False,1
29,2025_s1,2025,s1,44,"{'44': 1, '281': 1, '216': 1, '296': 1, '243': 1}",240,True,0
2024-I-4,2024_s2,2024,s2,116,{'116': 5},116,False,1
2024-II-4,2024_s2,2024,s2,33,{'33': 5},33,False,1
2024-I-3,2024_s2,2024,s2,809,{'809': 5},809,False,1
2024-II-12,2024_s2,2024,s2,23,"{'6': 1, '23': 4}",23,False,1
2024-I-11,2024_s2,2024,s2,2,"{'2': 2, '6': 1, '17': 1, '8': 1}",371,False,0
2024-I-8,2024_s2,2024,s2,1,"{'1': 2, '180': 1, '2': 1, '197': 1}",197,False,0
2024-II-11,2024_s2,2024,s2,200,"{'200': 1, '100': 1, '0': 1, '300': 1, '601': 1}",601,True,0
2024-I-12,2024_s2,2024,s2,1,"{'0': 1, '1': 2, '4': 1, '5': 1}",385,False,0
2024-I-2,2024_s2,2024,s2,25,"{'25': 4, '45': 1}",25,False,1
2024-II-6,2024_s2,2024,s2,55,{'55': 5},55,False,1
2024-I-7,2024_s2,2024,s2,540,{'540': 5},540,False,1
2024-I-1,2024_s2,2024,s2,204,{'204': 5},204,False,1
2024-I-6,2024_s2,2024,s2,294,{'294': 5},294,False,1
2024-II-3,2024_s2,2024,s2,45,"{'7': 1, '45': 3, '09': 1}",45,False,1
2024-I-13,2024_s2,2024,s2,110,"{'110': 4, '289': 1}",110,False,1
2024-II-10,2024_s2,2024,s2,468,"{'468': 4, '520': 1}",468,False,1
2024-II-7,2024_s2,2024,s2,6,"{'6': 2, '9': 1, '5': 1, '4': 1}",699,False,0
2024-I-15,2024_s2,2024,s2,06,"{'06': 1, '23': 1, '2': 1, '5': 1, '3': 1}",721,True,0
2024-II-15,2024_s2,2024,s2,1,"{'5': 1, '1': 2, '2': 1, '72': 1}",315,False,0
2024-II-9,2024_s2,2024,s2,2,"{'2': 1, '1800': 1, '25': 1, '15': 1, '5': 1}",902,True,0
2024-II-1,2024_s2,2024,s2,73,{'73': 5},73,False,1
2024-II-14,2024_s2,2024,s2,1,"{'12': 1, '1': 2, '2': 1, '3': 1}",211,False,0
2024-II-5,2024_s2,2024,s2,0,"{'80': 1, '1': 1, '200': 1, '0': 2}",80,False,0
2024-II-2,2024_s2,2024,s2,236,"{'2': 1, '236': 2, '4': 1, '246': 1}",236,False,1
2024-I-9,2024_s2,2024,s2,480,{'480': 5},480,False,1
2024-I-10,2024_s2,2024,s2,10,"{'10': 1, '240': 1, '489': 1, '769': 1, '41': 1}",113,True,0
2024-II-8,2024_s2,2024,s2,0,"{'0': 2, '11': 1, '2': 1, '132': 1}",127,False,0
2024-I-14,2024_s2,2024,s2,104,"{'104': 2, '427': 1, '80': 1, '91222': 1}",104,False,1
2024-I-5,2024_s2,2024,s2,104,"{'104': 2, '0': 2, '203': 1}",104,True,1
2024-II-13,2024_s2,2024,s2,321,"{'321': 4, '12': 1}",321,False,1
1,2025_s2,2025,s2,49,{'49': 5},49,False,1
0,2025_s2,2025,s2,468,{'468': 5},468,False,1
3,2025_s2,2025,s2,106,"{'1489': 2, '106': 3}",106,False,1
2,2025_s2,2025,s2,2,"{'2': 2, '4': 2, '1': 1}",82,True,0
4,2025_s2,2025,s2,2,"{'2': 2, '388': 1, '908': 1, '0358': 1}",336,False,0
8,2025_s2,2025,s2,149,"{'149': 4, '150': 1}",149,False,1
5,2025_s2,2025,s2,293,"{'293': 1, '5': 1, '0': 1, '12': 1, '216': 1}",293,True,1
6,2025_s2,2025,s2,3,"{'3': 2, '904': 1, '60671': 1, '237': 1}",237,False,0
7,2025_s2,2025,s2,35,"{'35': 1, '2': 1, '4': 1, '3': 1, '0': 1}",610,True,0
9,2025_s2,2025,s2,14,"{'0': 1, '1': 1, '14': 2, '8': 1}",907,False,0
10,2025_s2,2025,s2,13,"{'13': 1, '2': 1, '1': 1, '11585': 1, '554': 1}",113,True,0
15,2025_s2,2025,s2,468,{'468': 5},468,False,1
16,2025_s2,2025,s2,49,{'49': 5},49,False,1
11,2025_s2,2025,s2,5,"{'5': 1, '13': 1, '2': 1, '11': 1, '0': 1}",19,True,0
18,2025_s2,2025,s2,106,"{'106': 4, '70': 1}",106,False,1
12,2025_s2,2025,s2,3,"{'19': 1, '3': 2, '208': 1, '951': 1}",248,False,0
13,2025_s2,2025,s2,104,"{'104': 4, '112': 1}",104,False,1
14,2025_s2,2025,s2,188,"{'188': 3, '1': 1, '144': 1}",240,False,0
17,2025_s2,2025,s2,82,"{'82': 1, '100': 1, '70': 1, '64': 1, '6': 1}",82,True,1
19,2025_s2,2025,s2,345,"{'345': 1, '340': 1, '216': 1, '360': 1, '348': 1}",336,True,0
20,2025_s2,2025,s2,293,"{'293': 4, '217': 1}",293,False,1
21,2025_s2,2025,s2,237,{'237': 5},237,False,1
22,2025_s2,2025,s2,600,{'600': 5},610,False,0
23,2025_s2,2025,s2,149,"{'150': 2, '149': 3}",149,False,1
24,2025_s2,2025,s2,907,"{'1': 1, '907': 4}",907,False,1
25,2025_s2,2025,s2,105,"{'105': 1, '12': 1, '23169': 1, '021': 1, '1': 1}",113,True,0
26,2025_s2,2025,s2,19,"{'19': 4, '39': 1}",19,False,1
27,2025_s2,2025,s2,208,"{'724': 1, '208': 3, '62208': 1}",248,False,0
28,2025_s2,2025,s2,104,"{'104': 3, '100': 1, '101': 1}",104,False,1
29,2025_s2,2025,s2,328,"{'328': 1, '188': 1, '246': 1, '244': 1, '324': 1}",240,True,0
2024-II-4,2024_s3,2024,s3,33,{'33': 5},33,False,1
2024-II-12,2024_s3,2024,s3,23,{'23': 5},23,False,1
2024-I-4,2024_s3,2024,s3,116,{'116': 5},116,False,1
2024-I-3,2024_s3,2024,s3,809,{'809': 5},809,False,1
2024-I-8,2024_s3,2024,s3,254,"{'254': 1, '197': 1, '2929': 1, '144': 1, '103': 1}",197,True,0
2024-I-12,2024_s3,2024,s3,72,"{'72': 2, '100': 1, '12': 1, '24': 1}",385,False,0
2024-I-11,2024_s3,2024,s3,259,"{'259': 1, '419': 1, '53': 1, '33': 1, '273': 1}",371,True,0
2024-II-11,2024_s3,2024,s3,601,"{'401': 1, '15': 1, '601': 2, '7': 1}",601,False,1
2024-I-2,2024_s3,2024,s3,25,{'25': 5},25,False,1
2024-II-6,2024_s3,2024,s3,55,{'55': 5},55,False,1
2024-I-7,2024_s3,2024,s3,540,"{'540': 4, '555': 1}",540,False,1
2024-II-3,2024_s3,2024,s3,45,"{'1': 1, '9': 1, '54': 1, '45': 2}",45,False,1
2024-I-1,2024_s3,2024,s3,204,{'204': 5},204,False,1
2024-II-7,2024_s3,2024,s3,699,{'699': 5},699,False,1
2024-I-6,2024_s3,2024,s3,294,{'294': 5},294,False,1
2024-I-13,2024_s3,2024,s3,110,"{'134': 1, '110': 3, '24': 1}",110,False,1
2024-I-15,2024_s3,2024,s3,721,{'721': 5},721,False,1
2024-II-15,2024_s3,2024,s3,144,"{'144': 1, '9': 1, '12': 1, '1': 1, '1194': 1}",315,True,0
2024-II-10,2024_s3,2024,s3,468,{'468': 5},468,False,1
2024-II-9,2024_s3,2024,s3,1024,"{'1024': 1, '12': 1, '35': 1, '1': 1, '100': 1}",902,True,0
2024-II-14,2024_s3,2024,s3,211,{'211': 5},211,False,1
2024-II-5,2024_s3,2024,s3,80,"{'60': 2, '80': 3}",80,False,1
2024-I-9,2024_s3,2024,s3,480,"{'480': 3, '79': 1, '479': 1}",480,False,1
2024-II-2,2024_s3,2024,s3,236,"{'208': 1, '236': 4}",236,False,1
2024-II-1,2024_s3,2024,s3,73,{'73': 5},73,False,1
2024-I-10,2024_s3,2024,s3,113,{'113': 5},113,False,1
2024-II-8,2024_s3,2024,s3,7,"{'47': 1, '7': 3, '127': 1}",127,False,0
2024-I-14,2024_s3,2024,s3,104,{'104': 5},104,False,1
2024-I-5,2024_s3,2024,s3,104,"{'2': 1, '291': 1, '104': 2, '107': 1}",104,False,1
2024-II-13,2024_s3,2024,s3,321,{'321': 5},321,False,1
0,2025_s3,2025,s3,468,{'468': 5},468,False,1
1,2025_s3,2025,s3,49,{'49': 5},49,False,1
2,2025_s3,2025,s3,82,"{'82': 2, '64': 2, '6': 1}",82,True,1
3,2025_s3,2025,s3,106,{'106': 5},106,False,1
4,2025_s3,2025,s3,336,"{'353': 1, '336': 2, '327': 1, '192': 1}",336,False,1
5,2025_s3,2025,s3,293,"{'293': 4, '223': 1}",293,False,1
6,2025_s3,2025,s3,237,"{'237': 4, '60671': 1}",237,False,1
7,2025_s3,2025,s3,610,"{'610': 3, '600': 1, '3': 1}",610,False,1
8,2025_s3,2025,s3,149,"{'159': 2, '149': 3}",149,False,1
9,2025_s3,2025,s3,907,"{'907': 3, '800': 1, '994': 1}",907,False,1
10,2025_s3,2025,s3,585,"{'585': 1, '23': 1, '23169': 1, '1': 1, '65': 1}",113,True,0
11,2025_s3,2025,s3,19,"{'128': 1, '19': 3, '82': 1}",19,False,1
12,2025_s3,2025,s3,208,"{'724': 1, '208': 2, '894': 1, '36': 1}",248,False,0
13,2025_s3,2025,s3,104,{'104': 5},104,False,1
14,2025_s3,2025,s3,188,"{'216': 2, '188': 3}",240,False,0
15,2025_s3,2025,s3,468,{'468': 5},468,False,1
16,2025_s3,2025,s3,49,{'49': 5},49,False,1
17,2025_s3,2025,s3,82,"{'82': 1, '082': 1, '64': 1, '24': 1, '60': 1}",82,True,1
18,2025_s3,2025,s3,106,{'106': 5},106,False,1
19,2025_s3,2025,s3,336,"{'336': 3, '180': 1, '332': 1}",336,False,1
20,2025_s3,2025,s3,293,"{'1469': 1, '626': 1, '293': 2, '73': 1}",293,False,1
21,2025_s3,2025,s3,237,"{'237': 3, '2': 1, '999': 1}",237,False,1
22,2025_s3,2025,s3,610,"{'610': 3, '600': 2}",610,False,1
23,2025_s3,2025,s3,149,"{'149': 4, '150': 1}",149,False,1
24,2025_s3,2025,s3,907,"{'907': 3, '845': 1, '715': 1}",907,False,1
25,2025_s3,2025,s3,1,"{'13': 1, '1': 2, '4096': 1, '2': 1}",113,False,0
26,2025_s3,2025,s3,19,{'19': 5},19,False,1
27,2025_s3,2025,s3,208,"{'208': 3, '724': 1, '736': 1}",248,False,0
28,2025_s3,2025,s3,104,"{'104': 3, '106': 1, '147': 1}",104,False,1
29,2025_s3,2025,s3,216,"{'216': 1, '244': 1, '376': 1, '214': 1, '188': 1}",240,True,0
